id,gene,log2FC,pval,n_group1,n_group2,padj,neglog10_padj
Q99KH8,Stk24,0.865000000000002,0.5808617782986112,3,2,0.7479362185456808,0.1261354357113448
P63024,Vamp3,-0.1933333333333351,0.5810271391002874,3,3,0.7479362185456808,0.1261354357113448
O55022,Pgrmc1,-0.1966666666666725,0.5836231197860494,3,3,0.7505370297840319,0.1246278757936033
Q9QZD8,Slc25a10,0.3366666666666624,0.5844823815856613,3,3,0.7509015030420714,0.1244170263656496
Q04736,Yes1,-0.3449999999999988,0.5858052726754241,2,2,0.7518603105991665,0.1238628402212088
Q8BFW7,Lpp,-0.2800000000000011,0.5888794607941146,3,3,0.7550627501234272,0.1220169544636458
Q8R1G6,Pdlim2,0.3966666666666683,0.5935449694268567,3,3,0.760297288931848,0.1190165581177943
P84089,Erh,0.2233333333333291,0.5974714798314994,3,3,0.7637305787311836,0.1170598204903003
O88384,Vti1b,0.3200000000000003,0.597982301291824,3,3,0.7637305787311836,0.1170598204903003
P15327,Bpgm,-0.4649999999999998,0.5976028596064777,2,2,0.7637305787311836,0.1170598204903003
