id,gene,log2FC,pval,n_group1,n_group2,group1,group2,padj,neglog10_padj
Q8CGA0,Ppm1f,0.0658906880152416,0.8524410904702724,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8C190,Vps9d1,0.0801590213485781,0.8615716685693302,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9QXY6,Ehd3,-0.0142729786514212,0.8564758848257576,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q91XW9,Pcdhgc5,-0.1564609786514239,0.8491461128414256,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8R3V6,Cuedc1,0.0896183546819102,0.8545630617816857,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q80TL0,Ppm1e,-0.0731983119847612,0.8614803407081513,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P34152,Ptk2,0.0245103546819045,0.8514322628936338,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P68033,Actc1,-0.0278076453180897,0.8396084959768034,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P08228,Sod1,0.0392243546819095,0.858557055339435,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P52760,Hrsp12,-0.0756943119847566,0.8583438139090072,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8BKG3,Ptk7,-0.1342033119847592,0.8441471923080774,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P62071,Rras2,0.057879688015241,0.8595835283683656,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9ER73,Elp4,-0.0807583119847556,0.8619816208714645,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
H7BWZ2,Adgrb2,0.0411436880152438,0.8543112928188727,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q80X71,Tmem106b,-0.1052526453180897,0.836000174809323,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P97799,Nrsn1,-0.224382645318089,0.8594820378760732,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P35293,Rab18,-0.1043949786514213,0.8456103266470104,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
